frame,frame_timestamp,ray_timestamp,ray_index,ray_id,x,y,z,intensity,distance,hit
4,0.400525,0.400525,21,21,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,22,22,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,23,23,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,24,24,7.308810,0.191388,-0.319219,0.013581,7.318281,1
4,0.400525,0.400525,25,25,12.371100,0.323948,-0.324059,0.008028,12.379583,1
4,0.400525,0.400525,26,26,40.164299,1.051740,-0.350628,0.002474,40.179596,1
4,0.400525,0.400525,27,27,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,28,28,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,29,29,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,30,30,7.304260,0.318911,-0.319215,0.013581,7.318184,1
4,0.400525,0.400525,31,31,12.363200,0.539790,-0.324051,0.008028,12.379221,1
4,0.400525,0.400525,32,32,39.493999,1.724350,-0.344988,0.002474,39.533131,1
4,0.400525,0.400525,33,33,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,34,34,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,35,35,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,0,0,7.437120,-0.324712,-0.325021,0.013397,7.451297,1
5,0.500123,0.500123,1,1,12.709100,-0.554893,-0.333117,0.007844,12.725568,1
5,0.500123,0.500123,2,2,43.558498,-1.901800,-0.380491,0.002289,43.601654,1
5,0.500123,0.500123,3,3,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,4,4,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,6,6,7.441830,-0.194871,-0.325028,0.013396,7.451473,1
5,0.500123,0.500123,7,7,12.717400,-0.333016,-0.333130,0.007844,12.726120,1
5,0.500123,0.500123,8,8,43.590698,-1.141460,-0.380541,0.002289,43.607300,1
